Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
93	1305.1858	176.97455	1465.2839	965.7257	767.63873	5.4271393	774.676	757.34814	411.0	264.2	185999	220.83138	68.03544	302.90262	-112.22927	220.83237	68.03691	301.9433	-101.07423	-222.96356	46.306183	26714.495022296906
94	908.62805	167.026	1186.7191	739.8355	752.2015	8.274746	764.681	741.0942	299.2857	261.6	187999	220.88844	68.26118	301.32925	-112.241905	220.88756	68.26885	302.35135	-124.24964	-222.95882	43.441936	27056.910029172897
95	1074.3256	261.55493	1510.6615	720.1284	1262.178	114.006325	1475.6445	1137.7238	352.0	403.6	189999	221.37244	68.3094	304.04385	-64.5869	221.37314	68.31732	304.1669	-81.92448	-223.5395	45.093365	27404.265758037567
96	933.7481	121.036575	1112.1896	793.49396	753.30896	4.281703	760.77655	747.3091	307.5	258.4	191999	221.66325	68.40215	304.34985	-130.72557	221.66348	68.41129	303.41205	-172.35442	-223.89363	50.35276	27746.526185512543
97	957.84	360.14618	1533.2938	239.38205	955.7792	51.42067	1018.75507	865.32324	305.2857	296.4	193999	222.06912	68.2838	304.07852	-95.5635	222.06874	68.29473	303.78558	-173.85292	-224.27805	46.67158	28091.076372861862
98	992.75275	258.48798	1444.9836	623.3982	1333.0874	123.89598	1598.2411	1165.9255	302.83334	391.2	195999	221.94418	68.734695	304.86957	-91.75091	221.94415	68.73943	307.65347	-173.25612	-224.2229	47.74035	28445.161171913147
99	1063.4955	229.98834	1261.5841	595.49896	1395.3568	241.15608	1893.5281	972.1229	322.16666	414.5	197999	222.2349	68.7864	304.0934	-128.6412	222.23438	68.78668	303.62357	-89.80586	-224.5719	45.25	28795.265734434128
100	1076.9065	230.82361	1505.5854	862.03577	1451.5945	645.6378	3327.2551	1038.4688	321.85715	430.7	199999	222.21158	68.87194	305.59042	-82.22561	222.21208	68.87909	304.8417	-89.91317	-224.16919	46.781433	29156.78454875946
101	1134.5099	117.45658	1216.2341	905.5297	1263.864	214.90582	1806.3142	1071.9628	343.8	370.1	201999	222.48164	68.96053	306.76645	-106.03177	222.48184	68.96384	306.4905	-154.74489	-224.59348	50.308147	29507.729163885117
102	1169.9594	206.97388	1550.4712	949.8758	1377.8298	208.83356	1637.8737	957.40576	355.0	414.9	203999	222.88814	68.76914	306.70474	-107.90955	222.88954	68.775604	305.503	-75.32268	-225.07397	43.46546	29858.998816013336
