Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
99	340.2328	76.437256	530.1611	209.31241	67.17242	145.57768	69.37654	255.98532	-25.661493	200000	-0.06678928	1573.6249	-0.0052139983	-1030.0327	0.9169389	1.9073486e-08	1146.853730916977
100	353.22717	78.80808	567.4371	244.95699	67.48276	149.6521	68.49843	254.83096	2.3070931	202000	-0.011420661	1604.5555	-0.004272123	-1066.4856	0.916899	2.4318695e-08	1159.3865616321564
101	350.77286	60.641197	486.78122	267.23962	66.333336	149.14369	75.09985	260.99274	-6.1451683	204000	-0.058779296	1243.8458	-0.004327368	-872.43475	0.91686815	2.5749207e-08	1171.6064207553864
102	362.23233	82.6362	607.48737	230.59087	70.17857	151.55174	72.49954	261.6831	-4.686926	206000	0.028663464	1398.8363	-0.0050637014	-847.5848	0.91682893	-4.7683715e-09	1184.14675283432
103	391.72723	123.25514	866.3476	262.1265	75.38461	154.58914	73.484184	263.03275	0.28133106	208000	-0.042359438	3384.6694	-0.0048180297	-2236.748	0.9168028	-2.9563903e-08	1196.4222066402435
104	332.66016	68.09668	508.08893	220.70618	63.48387	157.25246	80.11981	270.2536	-8.512419	210000	-0.06759406	1586.3353	-0.0045588464	-1123.1975	0.9167656	3.3378602e-09	1209.0303649902344
105	328.2594	77.75083	443.26794	93.758125	63.064518	154.59822	71.573395	264.1852	-1.27001	212000	-0.039483298	1502.3999	-0.0048129745	-986.837	0.916726	1.9073487e-09	1221.25829744339
106	340.9446	64.630424	553.19745	200.75995	65.03333	141.85751	72.23388	265.18106	0.9561415	214000	-0.093516655	1436.5825	-0.0045277923	-936.8048	0.9166874	-4.1007997e-08	1233.746250629425
107	351.68176	74.12263	514.86255	241.55217	67.72414	150.04865	68.54574	260.31247	-12.551836	216000	0.03604333	1463.3589	-0.004807031	-893.99194	0.9166441	-2.3841858e-08	1246.3106775283813
108	345.69394	66.27505	522.1649	211.40839	65.7	153.987	72.90477	266.54587	4.0385556	218000	0.0933293	1240.3721	-0.00412111	-842.9346	0.9166113	-1.001358e-08	1258.6106841564178
109	368.60892	73.41231	605.0564	263.49335	70.32143	152.6243	73.186325	267.1075	4.5679293	220000	-0.060934745	1352.7637	-0.0045251697	-863.5244	0.91659105	-1.0490417e-08	1271.1409969329834
110	356.93567	70.03486	588.1763	216.19359	67.27586	152.80627	73.21754	273.4151	1.798944	222000	0.0069700596	1525.8546	-0.0039728424	-1006.76654	0.9165639	-7.629395e-09	1283.434280872345
111	352.68176	80.62835	614.9905	253.7068	68.62069	152.58826	75.16732	273.83295	-6.1712728	224000	0.020150019	1877.0032	-0.0035833605	-1186.719	0.9165364	-1.0967255e-08	1295.8862104415894
