Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
97	-144.21924	137.90794	-20.799805	-354.23502	-37.253597	229.77293	504.8491	-331.67508	251.875	517.7	193999	218.2472	98.02438	527.2759	-120.33016	-222.08281	63.108234	21706.933963298798
98	-142.0624	154.45593	-26.586517	-474.80685	-108.40068	181.03433	167.25204	-430.991	377.0	538.8	195999	225.1705	100.21752	561.90717	-129.14432	-229.02933	63.896095	21943.343242883682
99	-98.73597	71.19006	-29.7305	-196.72667	-1055.0482	904.7834	-47.575184	-2343.7432	370.33334	620.0	197999	230.35596	100.7532	530.16705	-162.41263	-234.23607	66.225235	22180.863354444504
100	-176.31604	381.21158	119.71081	-1017.7584	-362.99796	460.7833	-25.440449	-1460.1298	361.16666	345.1	199999	234.80046	101.09477	535.4408	-196.38666	-238.6905	73.452	22397.450427532196
101	-187.07114	161.50253	-12.163423	-474.1148	-267.6236	744.27185	103.13415	-2489.0432	426.8	431.6	201999	238.16788	101.7648	538.80194	-139.26581	-242.00328	68.92854	22623.844688892365
102	-62.239315	67.76819	-15.238521	-209.34444	-460.85864	755.3558	526.1174	-1949.2802	357.16666	810.3	203999	240.7081	104.0336	536.6608	-241.78838	-244.56024	68.6717	22883.237718820572
103	-211.82056	253.60435	-7.3639812	-710.50665	-416.6039	423.5478	253.04936	-1199.8068	216.0	743.4	205999	244.81686	107.022026	555.126	-142.53818	-248.73425	72.52116	23133.575632095337
104	58.00713	162.3226	251.99794	-165.8756	-1074.5713	863.882	-24.28173	-1978.3086	540.25	623.5	207999	247.02618	108.5821	568.55884	-159.86914	-250.84204	72.14188	23379.03448367119
105	-774.1101	144.16507	-629.945	-918.27515	-1014.3522	642.07825	-25.465038	-1943.0385	1000.0	804.5	209999	250.21858	106.86505	561.6477	-133.30783	-254.19266	74.23147	23631.151356697083
106	-393.49988	428.2504	-58.50911	-1326.2385	-594.237	583.12085	-11.928823	-1552.769	309.0	546.4	211999	253.98412	105.52968	575.8185	-144.89543	-257.97678	68.9706	23869.410796880722
