Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
95	1975.504	37.945557	2013.4496	1937.5585	2056.6843	41.427605	2107.815	1973.3652	1000.0	1000.0	189999	66.42298	44.328815	127.98653	-40.12325	66.42143	44.330387	126.38005	-64.85202	-68.24444	12.067828	22914.491489887238
96	1293.0828	833.564	2126.6467	459.51874	2019.791	191.31464	2165.8748	1494.0636	615.5	1000.0	191999	66.96397	45.31162	128.2449	-47.473732	66.96184	45.315823	128.43497	-71.7392	-69.08725	12.443842	23163.715475797653
97	1433.2671	841.17017	2043.3245	243.80446	1717.6731	738.11	2240.6028	-95.892654	704.3333	994.9	193999	66.79144	46.884247	130.3669	-51.78679	66.79194	46.886414	128.06728	-46.50136	-69.09086	12.6451235	23416.058717489243
98	1551.2584	626.9884	2084.2354	671.0735	2057.3933	96.617096	2188.169	1832.9758	787.6667	988.2	195999	67.43767	47.877422	132.78593	-59.744392	67.4372	47.879414	129.52272	-40.47048	-70.02742	13.099787	23658.4240026474
99	1252.8158	853.72253	2065.8157	46.16269	1942.1536	467.37094	2264.4504	611.8128	612.75	910.4	197999	68.62944	48.148636	131.22852	-57.66559	68.62862	48.150223	130.01543	-42.69881	-70.66951	12.815967	23902.0632686615
100	2007.9927	12.167725	2020.1604	1995.825	1973.4932	410.60175	2333.8333	1067.0264	1000.0	961.8	199999	69.60399	48.66563	132.5407	-39.807854	69.60439	48.667152	131.81065	-39.02566	-71.57817	12.4402895	24150.312078237534
101	1634.9309	472.76166	2107.6926	1162.1693	2118.627	71.334526	2206.629	1940.3921	1000.0	1000.0	201999	70.63759	49.15413	133.76202	-40.41866	70.63715	49.15555	133.46207	-55.57649	-72.75035	13.024094	24399.661606550217
102	1529.0748	762.0721	2291.147	767.00275	2085.3267	46.054035	2155.5652	2013.1515	678.5	1000.0	203999	70.97642	49.717903	135.8644	-45.661446	70.97466	49.721714	135.01926	-51.53298	-73.17252	12.959458	24650.36204624176
103	1586.6206	325.34198	2030.608	1260.0923	2142.4824	69.69411	2241.0967	2027.8181	876.6667	1000.0	205999	72.31583	50.08509	136.44907	-37.764095	72.314354	50.088703	135.96634	-39.578133	-74.40777	13.1734495	24901.059608459473
104	1115.2114	996.5928	2111.8042	118.61867	2128.6804	452.56454	2368.8926	785.5763	528.0	999.2	207999	72.95172	50.76701	138.0536	-50.065598	72.95116	50.769985	135.84404	-42.053535	-74.86191	13.7119875	25150.761083126068
105	920.4961	6.554901	927.051	913.9412	2222.4592	243.74054	2400.6042	1542.0201	1000.0	1000.0	209999	73.15221	51.499958	137.39877	-52.752842	73.1503	51.5058	136.91649	-45.528004	-75.03929	14.554742	25400.02072429657
106	2045.2606	38.793335	2084.054	2006.4673	1964.7799	452.77	2248.8008	738.5821	1000.0	894.1	211999	73.76772	52.115417	137.22398	-44.859375	73.766594	52.117504	137.78816	-46.014263	-75.68339	14.330252	25644.319318771362
107	1616.7167	462.751	2245.17	1144.3995	2189.5715	28.409458	2240.4321	2151.2527	837.0	1000.0	213999	74.4629	52.705936	140.99875	-47.164547	74.46185	52.70969	138.40147	-49.086197	-76.416245	14.083073	25895.00372862816
108	1985.0426	127.691284	2112.734	1857.3513	2107.2942	69.45297	2199.292	1976.8322	1000.0	1000.0	215999	75.15114	53.133656	142.09435	-49.257263	75.15005	53.136093	138.51393	-43.509197	-77.03831	14.215902	26146.983744621277
109	1966.2864	194.16461	2160.451	1772.1217	2065.151	335.2778	2273.9243	1086.0939	935.5	946.6	217999	75.65685	53.995525	140.1578	-45.987015	75.65727	53.998432	140.12917	-53.797012	-77.80899	15.97948	26396.9896171093
110	2003.9211	38.726013	2042.6472	1965.1952	2232.0784	63.655304	2317.59	2107.683	1000.0	1000.0	219999	76.24966	54.844906	142.16682	-46.107162	76.248665	54.84937	141.76251	-36.919186	-78.62361	16.896091	26652.3543074131
