Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
62	767.91437	208.92735	1175.8372	502.98648	640.63635	68.15926	768.332	540.6893	149.28572	120.4	123999	233.19646	120.06554	515.08496	-22.752245	233.19781	120.064095	480.6706	-22.792099	-4.8140545	5.049361	36.746704	-22.36236	-234.94907	116.478836	29153.543937683105
63	634.01306	112.877945	810.69666	378.07074	604.318	66.02703	704.33386	534.1466	123.3125	113.2	125999	234.52705	120.2225	491.06674	-20.830454	234.5271	120.220024	502.9055	-33.26472	-4.770074	5.03552	35.301174	-19.370243	-236.29167	115.57383	29393.3448908329
64	673.28784	151.9809	953.4139	333.87323	839.13165	190.20578	1238.716	541.0378	129.8	165.3	127999	234.95312	120.87592	480.99237	-19.014923	234.95094	120.87464	469.2467	-56.87503	-4.8454366	5.0895147	36.481846	-21.09041	-236.71376	115.79964	29642.542763710022
65	692.4965	269.45505	1632.3423	476.4655	548.49536	41.826355	651.44684	497.05466	133.6875	100.8	129999	236.72812	121.22079	434.33176	-18.652586	236.7284	121.22213	446.06543	-16.904524	-4.56412	5.100882	31.04517	-20.82557	-238.51482	116.091385	29894.985183238983
66	617.9822	205.59723	1281.788	393.6902	604.0976	70.83566	755.67334	535.0845	121.875	115.4	131999	237.7949	121.93564	430.7423	-28.203695	237.79388	121.93654	433.19553	-32.099285	-4.7515874	5.058213	34.665222	-20.710733	-239.6043	114.83777	30142.009870290756
67	641.8975	137.98975	891.494	374.78958	614.00165	49.230778	697.93506	533.2819	127.8125	118.1	133999	238.849	122.02578	444.84344	-22.631294	238.8509	122.027954	439.54315	-28.643919	-4.7940392	5.0572934	33.282593	-19.93871	-240.64983	114.037346	30386.25248479843
68	650.2587	145.4245	888.9733	385.73886	584.4873	89.720474	814.5432	495.87418	133.14285	108.8	135999	239.1232	122.70085	501.15152	-25.931784	239.1243	122.703835	480.85443	-17.067507	-4.677323	5.119832	42.50819	-22.625526	-240.92456	117.43955	30635.45236825943
69	611.8132	97.95585	770.7433	438.8878	590.69403	111.68716	843.1815	489.69168	115.72222	111.2	137999	240.01344	123.24026	448.04562	-16.998022	240.01173	123.241745	461.93073	-22.930534	-4.6564035	5.1175003	37.175888	-20.79551	-241.786	118.04684	30880.764490365982
70	657.19696	103.580666	842.2746	486.24603	610.2	66.87319	749.9981	490.3477	127.3125	113.6	139999	241.42308	123.40001	448.80154	-39.19659	241.42352	123.39863	436.54733	-40.310726	-4.524498	5.148401	34.165485	-19.176727	-243.16595	121.295876	31126.572098493576
71	605.96985	99.26696	792.3721	470.21838	691.85657	127.16579	1011.2602	502.8919	119.0	138.3	141999	241.8113	123.6263	478.82422	-24.072845	241.81004	123.62738	472.2015	-25.574392	-4.8141255	5.0572677	36.67844	-21.718575	-243.53915	118.91934	31370.613862276077
72	616.1648	159.57114	993.2245	387.63065	532.6212	37.593594	627.3746	496.12628	122.25	97.4	143999	243.13432	124.293594	467.68738	-59.981342	243.13448	124.29315	453.24042	-47.88659	-4.7185173	5.094054	31.808113	-20.465965	-244.90541	119.84553	31629.393488645554
73	616.74005	105.664986	919.78705	470.0574	656.42896	115.77183	945.56256	566.82086	119.35294	129.5	145999	243.03548	124.3951	430.70648	-27.044006	243.03523	124.393684	439.45016	-23.360472	-4.7856607	5.028326	43.088264	-22.228397	-244.72331	119.28792	31871.10448694229
74	643.2331	95.36396	793.6266	432.80035	621.6572	50.369873	693.8157	538.53613	122.375	116.2	147999	243.57227	124.715454	443.82806	-22.509495	243.57332	124.71825	466.71	-27.617363	-4.6665664	5.157925	37.34041	-23.080067	-245.29285	119.56289	32108.141486167908
75	636.02466	88.31413	765.46045	452.42825	601.1957	104.6439	854.03687	499.26733	125.3125	113.5	149999	244.51659	124.97491	447.65985	-29.45389	244.51495	124.97761	475.20624	-29.91909	-4.662195	5.0800185	37.00734	-21.173851	-246.24306	119.99265	32352.811544179916
76	651.25745	123.349594	876.5848	464.7112	523.7484	63.711338	616.682	414.88364	127.066666	98.0	151999	244.67393	125.07145	502.8296	-21.080853	244.67372	125.07372	464.2134	-16.496996	-4.693693	4.9961443	45.81004	-20.70557	-246.33247	121.87448	32607.50536942482
77	751.4456	204.96912	1300.3373	472.22537	565.9624	28.414843	613.3376	526.57837	149.07143	107.4	153999	244.98412	125.52287	450.24234	-28.18976	244.98524	125.52218	449.96222	-23.715004	-4.4586954	5.0736485	37.00177	-20.908533	-246.62634	122.24492	32866.83501839638
78	678.3097	146.84038	1019.524	483.8072	671.2734	209.60287	1245.6683	496.50058	135.46666	129.0	155999	245.3601	125.13853	472.11505	-24.340012	245.36053	125.13857	508.88315	-14.970676	-4.6882186	5.0263686	33.342094	-19.905903	-246.98312	122.76194	33126.12080645561
79	747.5102	167.68063	1040.8479	438.82205	565.7765	31.353739	623.0213	513.7172	144.5	105.4	157999	245.45998	124.681725	484.3509	-35.841873	245.45879	124.68157	513.8513	-16.974382	-4.5679083	5.0564494	45.117332	-21.051102	-247.1046	121.81959	33389.958391189575
80	722.3918	121.9155	935.7522	507.50217	746.27167	220.39992	1265.9458	462.74603	141.71428	147.6	159999	246.01732	124.64091	472.24896	-41.29006	246.01784	124.643	471.62473	-22.834349	-4.5730505	5.081461	36.688313	-20.835941	-247.68803	120.453156	33649.515928030014
81	609.99615	247.38828	1353.8568	350.23447	667.1942	103.203354	930.5446	550.39246	123.0625	125.4	161999	246.39635	125.028015	484.87637	-27.217075	246.39719	125.02953	459.4929	-20.320354	-4.811614	4.988723	39.36511	-21.823498	-247.98157	120.57549	33904.5771214962
82	691.4656	206.60857	1272.284	485.28735	512.58167	83.580444	633.37384	389.81888	130.46666	94.5	163999	246.27394	124.907646	469.18735	-18.81166	246.27344	124.912224	478.503	-24.260195	-4.825636	5.0187716	39.581947	-21.491837	-247.83646	121.06241	34148.38505578041
83	661.2006	144.68954	991.60364	443.45294	622.90375	70.47132	721.3607	517.0863	128.125	116.7	165999	246.00526	124.836174	514.2811	-20.4955	246.00516	124.8386	479.9077	-16.675295	-4.776791	5.0277305	39.935814	-20.816086	-247.51334	122.39408	34398.826217889786
84	686.42584	133.26077	879.21454	452.65906	600.9662	42.523754	713.56586	551.1404	132.26666	112.2	167999	246.08168	124.44834	475.40826	-16.086828	246.08322	124.448105	499.54065	-27.785921	-4.6874623	5.020267	38.150284	-21.276901	-247.65524	119.07395	34636.89831805229
85	642.8262	167.13828	989.7348	396.85397	615.1557	82.453545	832.4108	539.55817	124.0625	114.7	169999	247.02129	124.61497	513.1346	-22.325802	247.02014	124.61805	524.7832	-26.098831	-4.6244698	4.9263396	36.104847	-21.461737	-248.58662	120.00015	34901.70440340042
86	619.899	113.705635	894.36835	432.406	621.8925	61.61854	729.8543	537.85474	118.0	117.8	171999	247.5741	124.58719	470.9675	-26.405949	247.57532	124.59027	482.1268	-25.469336	-5.0182333	4.750247	36.135296	-20.268925	-249.09137	116.58089	35165.33094739914
87	776.5338	225.96654	1318.9965	367.64932	742.0054	161.18684	1188.8151	582.55383	155.0	141.9	173999	247.41292	124.91551	453.34076	-30.022873	247.41463	124.91668	460.3025	-46.30428	-4.7961555	4.8566275	44.007492	-21.149616	-248.94728	116.946625	35423.88688349724
88	700.3878	122.46864	922.2833	480.48517	573.23737	38.7155	651.2439	518.7377	135.64285	106.9	175999	248.47318	124.734955	457.99496	-31.33219	248.47308	124.73891	438.44135	-20.59582	-4.8066764	4.8036213	35.09308	-22.426338	-250.00063	116.47358	35671.81668162346
89	818.2349	195.46968	1278.2823	591.2681	609.1202	98.86247	806.1214	489.18613	165.16667	115.8	177999	248.4926	124.681244	430.48343	-16.716328	248.49278	124.68164	432.4464	-25.439068	-4.8291245	4.8640137	37.781326	-21.92773	-250.00122	116.437485	35917.35908651352
90	796.3439	154.58296	1000.55194	566.74475	689.5287	199.97789	1190.5134	536.37006	154.6923	133.6	179999	249.30125	125.17023	432.9659	-23.23976	249.30142	125.17076	434.6344	-45.640804	-4.732395	4.8571744	34.893715	-19.996733	-250.76181	114.946106	36164.868691921234
91	806.8397	180.40402	1276.1456	538.1717	619.11194	42.14476	704.2207	563.8607	158.46153	114.5	181999	250.32782	125.103584	433.35187	-42.497513	250.33046	125.104576	433.1569	-25.30535	-4.8936615	4.778135	44.191944	-20.14473	-251.79259	114.6687	36412.97777271271
92	827.36145	156.21773	1129.667	545.7289	724.5997	131.09468	969.66425	492.4382	157.38461	144.9	183999	250.83174	125.27038	435.01056	-32.081898	250.83186	125.2733	436.4461	-23.867783	-4.7262692	4.895137	44.52193	-21.632654	-252.35272	113.161	36663.514602184296
93	800.17633	213.08072	1192.8895	491.82565	601.4977	60.992294	699.90375	463.56738	155.23077	115.9	185999	251.3289	125.18747	433.28317	-13.652395	251.3284	125.19028	434.8737	-17.54838	-4.6774755	4.886668	33.783157	-20.263538	-252.86494	115.63236	36913.25067472458
