Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
110	1525.9629	903.7001	2949.293	734.2013	1549.5304	832.04126	2741.5713	585.16376	502.25	568.6	219999	434.8458	103.1719	591.9975	-298.23114	-440.1219	217.58185	33835.09673857689
111	2148.8167	747.4551	2896.2717	1401.3616	1479.3186	950.6768	2755.5518	36.999794	721.5	539.5	221999	432.41443	101.525444	594.5931	-365.491	-437.8447	207.53435	34188.980877161026
112	2607.4968	332.9497	2940.4465	2274.547	1697.9436	1436.3368	3165.7656	32.045597	865.0	551.7	223999	430.83456	100.947685	596.8301	-244.42581	-436.2543	203.36891	34545.18332982063
113	1164.2456	852.32764	3145.6038	587.63617	1037.2136	291.53677	1641.5911	720.4296	375.57144	310.1	225999	429.10428	100.110695	595.9574	-304.88538	-434.44724	221.40616	34884.5853574276
114	1204.3225	1062.5745	3327.3804	590.7861	1766.5133	1066.4773	3110.4202	575.8905	382.0	598.9	227999	427.20517	99.667145	585.3642	-586.11	-432.40555	184.03671	35244.04438376427
115	1955.6229	1053.4596	3064.2058	539.38684	2058.9114	850.0764	3197.9854	595.06793	654.3333	658.9	229999	425.27988	98.538155	574.6127	-308.11517	-430.40128	203.61006	35606.37945103645
116	1276.0603	325.18494	1625.1992	777.35693	1657.5916	1124.6274	3062.5642	180.49435	424.0	570.1	231999	422.48615	99.31703	567.12335	-314.7298	-427.62036	187.58139	35963.71086525917
117	959.4592	287.0052	1536.9797	683.30884	950.0602	305.0329	1489.4917	601.9436	330.66666	330.9	233999	420.6092	99.10151	563.1587	-236.10306	-425.61893	197.67194	36304.62739276886
118	1036.0143	160.11348	1287.867	849.46075	974.10645	130.21115	1170.5139	788.74493	343.5	312.3	235999	418.66635	100.07602	577.0347	-379.85828	-423.69836	184.5622	36649.63917970657
119	859.7745	147.99678	1103.3075	661.9176	970.2134	258.5973	1366.3367	624.12085	278.0	309.8	237999	416.01144	99.56035	560.861	-303.0936	-420.79907	184.36172	37002.509982824326
