Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
70	209.76797	13.068934	232.4607	168.4089	94.95238	90.627846	35.3322	124.095116	-3.6938536	142000	0.008591413	72.11875	-0.00027811714	-32.797104	0.91237867	1.4305115e-09	1876.8547620773315
71	208.59338	24.737455	227.39442	104.85427	93.71429	91.34327	37.251404	125.52949	1.5139469	144000	0.015525469	171.09279	-0.0003281338	-50.800713	0.91223854	-5.364418e-10	1902.6506879329681
72	212.63846	9.44481	226.93494	188.67082	95.65	91.98876	35.733627	125.33592	-0.29170322	146000	0.0018880508	40.915977	-0.00024123664	-19.571707	0.91212004	5.3048135e-09	1929.294807434082
73	185.82591	45.402374	231.90482	57.971645	88.318184	96.84181	35.280704	127.04099	0.9455583	148000	-0.0052622883	780.00867	-0.0013387012	-434.82364	0.9120144	2.026558e-09	1955.8872809410095
74	200.08838	36.408268	234.02098	65.93278	93.38095	85.478615	33.591293	122.79208	-14.601632	150000	-0.036222294	340.25186	-0.00070792064	-155.35553	0.9119144	-8.3446505e-10	1982.502781867981
75	208.19557	22.769226	248.45142	144.97595	94.809525	85.399216	36.261013	124.142075	-0.59631264	152000	0.016065678	226.41505	-0.00031525083	-126.601944	0.911806	-3.8146974e-09	2008.9658780097961
76	192.20184	41.801205	229.27252	84.714676	89.40909	93.66591	35.696808	126.180466	-0.45169544	154000	-0.018191725	431.70706	-0.00077360496	-146.38809	0.91172016	-1.3113022e-09	2036.5154113769531
77	198.58868	45.278084	242.24997	74.67246	91.333336	88.12527	33.03864	120.6958	1.1764212	156000	-0.056041144	294.33316	-0.00064848736	-58.622437	0.91163754	-7.212162e-09	2062.8820464611053
78	207.7048	23.618614	224.41689	112.1882	93.14286	87.39398	35.97165	123.993805	1.1590867	158000	-0.062029228	196.8256	-0.0004885867	-101.19001	0.9115376	-3.5762787e-10	2088.9787871837616
79	208.50638	26.66047	232.24113	113.62367	92.95238	91.22254	36.238293	127.05784	2.216354	160000	-0.014942456	182.54083	-0.00079550035	-32.190033	0.91141444	5.722046e-09	2115.3596143722534
80	206.03596	23.012947	232.01727	130.31322	93.52381	94.32898	36.396927	127.79585	0.95981836	162000	0.03054822	186.09714	-9.556487e-05	-84.79598	0.9113003	-5.960465e-11	2141.2591438293457
81	193.1627	39.846313	229.01993	70.06873	88.045456	91.30412	36.464584	126.57841	-0.5919728	164000	-0.055325963	375.9134	-0.00045001507	-150.89668	0.91121995	-6.1392784e-09	2167.764663696289
82	214.84048	17.973925	258.90164	168.83444	97.85	88.5935	33.92688	125.053314	1.0385063	166000	-0.07004586	104.21522	-0.0013437793	-55.25408	0.91112787	1.4305115e-09	2194.5191638469696
83	213.62602	24.00133	260.04578	143.21172	97.5	92.88703	37.83624	128.08421	-2.0241656	168000	0.055537738	112.84213	-0.0010697022	-37.53453	0.911004	-2.9802323e-09	2220.3952023983
84	210.8552	23.569044	246.2785	118.428055	95.4	91.56344	36.919765	128.08934	0.16838038	170000	0.010445363	126.521454	-0.00031516422	-57.906044	0.9109239	-2.9802322e-10	2247.178414106369
85	203.88179	29.001497	234.48596	112.779976	93.38095	89.99299	39.079727	128.68617	3.2621498	172000	-0.03283699	240.49928	-0.0012132004	-116.979515	0.9108595	-3.3974648e-09	2274.270972251892
86	208.5704	24.111397	231.4833	111.54863	94.85714	90.4836	35.873306	127.26492	2.5131893	174000	-0.03686981	165.8159	-0.00035618618	-41.535286	0.91078883	4.2915342e-09	2300.4989047050476
87	195.32089	40.94123	230.0691	75.59939	89.681816	92.74959	36.27006	126.66146	-5.315409	176000	-0.054245584	439.21283	-0.00042152777	-140.06787	0.9107025	7.748604e-10	2326.138732433319
88	212.11353	19.5147	231.1485	131.10689	95.4	86.48994	36.556908	124.83251	-9.36279	178000	-0.01510506	153.12572	-0.0003766073	-124.33274	0.91060376	-1.4305115e-09	2351.3658463954926
89	217.60498	7.7045393	236.87846	204.1917	98.6	93.46708	38.194195	128.72516	4.005607	180000	-0.05178343	46.821095	-0.00073088706	-31.386478	0.9105078	3.4570693e-09	2377.266558408737
90	208.01375	25.584595	235.01562	113.080124	95.4	94.270195	37.08772	128.68292	-0.0569309	182000	0.007195034	165.49263	-0.0007001809	-43.34903	0.9103955	-6.556511e-10	2403.03822517395
91	208.2093	34.708836	280.55215	88.749466	97.1	92.902885	36.184902	126.8525	4.0000873	184000	-0.056470804	155.16945	-0.0006682724	-30.307732	0.91030097	6.3180923e-09	2429.5608706474304
92	200.78146	33.857643	244.29962	103.30855	92.333336	92.53899	34.952934	126.82701	2.5592058	186000	-0.0007087031	270.305	-0.0006190553	-69.36177	0.9101872	-9.834767e-09	2456.2584562301636
93	207.65074	20.483034	224.99644	146.39302	93.09524	86.69178	35.344463	126.51589	-1.5252262	188000	-0.05115741	242.65	-0.00036200136	-180.88358	0.91008985	1.2516975e-09	2482.326221227646
94	218.37979	7.426161	233.71999	208.6071	98.3	90.361984	37.868053	128.89276	1.8298631	190000	-0.022259343	56.61299	-0.0003004726	-48.664967	0.90997845	-5.066395e-09	2508.7467997074127
95	208.30792	17.723179	225.28078	148.72327	93.7619	96.06912	37.570667	129.92319	2.4471664	192000	0.019558879	106.50572	-0.00077278167	-39.026596	0.9098667	-4.23193e-09	2534.7384645938873
96	210.28018	24.330948	229.59628	114.20555	94.38095	88.57176	37.671352	128.12051	2.8991969	194000	-0.020831222	185.95119	-0.0008032657	-94.310425	0.90977997	-5.364418e-10	2560.4152631759644
97	215.07492	12.74676	233.64204	178.26399	98.35	93.27967	37.088257	128.39943	2.7785728	196000	0.016232153	110.80152	-0.00071229227	-56.227673	0.90968776	2.6226044e-09	2586.72194480896
98	221.48006	17.436363	268.71045	173.94318	102.63158	94.221115	36.795094	128.30042	1.8558224	198000	-0.016501598	50.597664	-0.0010807663	-19.031162	0.9096107	-1.0728836e-09	2613.058671474457
99	209.14124	28.77499	231.58179	102.94117	96.2	94.944725	37.76712	129.38443	-0.25017667	200000	-0.0022203615	367.8737	-0.0003010747	-198.22728	0.90953344	1.5497208e-09	2639.863136291504
100	216.96614	9.686625	242.6505	199.81477	97.0	90.75983	36.64721	125.674515	1.9228505	202000	-0.05305334	51.961353	-0.0003068708	-34.927925	0.909465	-2.8014182e-09	2665.642777442932
101	212.7749	16.6598	233.15163	169.13667	95.75	94.993645	37.361355	129.27599	3.3175206	204000	-0.034902975	98.45986	-0.0010889545	-44.749958	0.9093703	9.536744e-10	2691.578510761261
102	212.80783	29.523895	252.92935	118.73507	99.15	91.218605	37.368095	129.33072	-0.31066716	206000	-0.044513457	154.86679	-0.0006925836	-81.45233	0.9092699	-1.0251999e-08	2718.001825094223
103	225.41797	10.757831	252.32117	210.11658	102.57895	93.39332	37.79434	130.03857	1.9578477	208000	0.020698994	66.14192	-0.0010181516	-58.632744	0.909155	3.5762786e-09	2743.9826509952545
104	218.5542	10.538251	236.29156	193.77841	98.2	94.739784	38.989437	131.93756	2.150548	210000	0.015417448	33.754574	-0.0006032232	-13.906496	0.90906304	-2.1457671e-09	2770.402761697769
105	220.66109	15.511049	240.52623	167.6341	100.68421	95.17566	37.95828	130.79346	3.5207777	212000	0.032852713	57.64729	-0.0011284575	-12.597847	0.9089852	-1.5497208e-09	2796.656452178955
106	219.66174	9.0478735	236.2618	197.47101	97.25	93.256516	38.9436	130.42305	2.0761504	214000	-0.024993537	37.954735	-0.0015726052	-20.908627	0.9089362	2.8014182e-09	2822.050586462021
107	216.5767	19.145548	240.24768	152.29657	97.65	95.642685	38.205357	131.08687	3.064189	216000	-0.05152401	82.028496	-0.0014229752	-39.1619	0.908876	7.033348e-09	2848.011002779007
108	217.63718	13.434362	248.22137	178.8055	98.45	94.3029	38.867958	130.86346	0.52492535	218000	-0.016825248	59.78799	-0.0016983077	-14.474075	0.9087911	4.887581e-09	2873.1305599212646
109	220.77039	9.438139	241.65108	202.06139	99.2	92.432686	38.111805	130.23294	-1.0572757	220000	-0.00911535	42.546448	-0.00040038768	-29.297771	0.9087065	-2.503395e-09	2898.9547781944275
110	212.84517	37.817448	265.30338	71.10306	98.4	96.77578	37.866768	131.20535	-0.20014107	222000	0.01172856	285.14172	-0.0004732581	-124.97235	0.9086285	1.013279e-09	2925.0827190876007
111	219.84105	14.040119	232.85341	165.80486	99.31579	91.42963	37.630386	128.66948	-1.7153192	224000	-0.07677585	98.14794	-0.0009927154	-60.564777	0.90856624	-5.3644182e-09	2950.7106437683105
